,certified,model,mileage,price,monthly,dealer,review,rating
0,New,2024 Hyundai Tucson Limited,N/A,"$40,280",Hot Car,"
Suntrup Hyundai South
",N/A,N/A
1,Used,2020 BMW X5 xDrive40i,"44,710 mi.","$39,894",Good Deal | $607 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
2,Acura Certified,2021 Acura RDX Advance Package,"25,380 mi.","$38,495",Good Deal,"
Ed Napleton Acura Kia
",(608 reviews),3.6
3,Kia Certified,2021 Kia Sorento SX,"26,568 mi.","$33,464",Good Deal | $503 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
4,Used,2020 Lincoln Aviator Black Label AWD,"49,383 mi.","$45,999",Good Deal | $619 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
5,Used,2021 Ford Bronco Outer Banks Advanced,"28,532 mi.","$41,994",Good Deal,"
Ed Napleton Acura Kia
",(608 reviews),3.6
6,Used,2017 Ford Focus RS Base,"67,813 mi.","$27,692","Great Deal | $2,839 under","
Ed Napleton Acura Kia
",(608 reviews),3.6
7,Used,2016 Ford Shelby GT350 Base,"33,703 mi.","$46,995","Great Deal | $4,408 under","
Ed Napleton Acura Kia
",(608 reviews),3.6
8,Kia Certified,2020 Kia Telluride EX,"45,055 mi.","$34,495",Good Deal,"
Ed Napleton Acura Kia
",(608 reviews),3.6
9,Used,2020 Audi A4 45 Premium,"29,867 mi.","$27,997",Good Deal | $255 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
10,Used,2020 BMW 540 i xDrive,"24,825 mi.","$38,997","Great Deal | $4,583 under","
Ed Napleton Acura Kia
",(608 reviews),3.6
11,Acura Certified,2018 Acura MDX 3.5L w/Technology Package,"59,496 mi.","$27,961",Good Deal | $462 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
12,Used,2016 Acura RDX Base,"132,643 mi.","$14,787",Good Deal | $195 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
13,Used,2022 Honda Accord Hybrid Touring,"25,209 mi.","$30,997",Great Deal | $592 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
14,Kia Certified,2022 Kia EV6 GT-Line,"12,259 mi.","$39,994",Good Deal,"
Ed Napleton Acura Kia
",(608 reviews),3.6
15,Acura Certified,2020 Acura ILX Premium Package,"32,095 mi.","$22,996","Great Deal | $1,264 under","
Ed Napleton Acura Kia
",(608 reviews),3.6
16,Toyota Certified,2020 Toyota Camry Hybrid XLE,"35,300 mi.","$29,805",Good Deal,"
Oakbrook Toyota in Westmont
","(2,531 reviews)",4.5
17,Used,2021 Hyundai Palisade Calligraphy,"22,227 mi.","$42,979",Good Deal | $245 under,"
Oakbrook Toyota in Westmont
","(2,531 reviews)",4.5
18,Toyota Certified,2021 Toyota Highlander Hybrid Limited,"23,808 mi.","$47,479",Good Deal,"
Oakbrook Toyota in Westmont
","(2,531 reviews)",4.5
19,Used,2020 Lexus UX 250h Base,"43,855 mi.","$29,999",Good Deal,"
Oakbrook Toyota in Westmont
","(2,531 reviews)",4.5
20,Used,2022 Toyota Tundra SR5,"2,475 mi.","$49,999",Good Deal,"
Oakbrook Toyota in Westmont
","(2,531 reviews)",4.5
21,New,2023 Nissan Leaf SV PLUS,N/A,"$36,906",N/A,"
Ken Ganley Nissan Medina
",N/A,N/A
22,Used,2020 Lexus LS 500 Base,"34,840 mi.","$59,790",Good Deal | $635 under,"
McGrath Lexus of Westmont
","(2,074 reviews)",4.9
23,Used,2019 Lexus LX 570 570,"53,290 mi.","$67,390",Good Deal,"
McGrath Lexus of Westmont
","(2,074 reviews)",4.9
24,Used,2019 Lexus LS 500 500,"33,050 mi.","$54,490",Good Deal,"
McGrath Lexus of Westmont
","(2,074 reviews)",4.9
25,Used,2017 BMW 740 i xDrive,"72,054 mi.","$28,410",Good Deal,"
McGrath Lexus of Westmont
","(2,074 reviews)",4.9
26,Used,2010 Chevrolet Corvette ZR-1,"11,001 mi.","$92,995",Fair Deal,"
Midwest Car Connect
",(56 reviews),N/A
27,Audi Certified,2021 Audi SQ8 4.0T quattro Premium Plus,"23,595 mi.","$78,524","Great Deal | $3,187 under","
Audi Westmont
","(1,586 reviews)",4.7
28,Audi Certified,2020 Audi S5 3.0T Premium Plus,"11,542 mi.","$47,024",Good Deal | $463 under,"
Audi Westmont
","(1,586 reviews)",4.7
29,Used,2020 Audi A6 55 Premium Plus,"27,859 mi.","$36,000",Good Deal,"
Audi Westmont
","(1,586 reviews)",4.7
30,Used,2018 Ford Explorer Platinum,"62,824 mi.","$29,400",Great Deal | $624 under,"
Audi Westmont
","(1,586 reviews)",4.7
31,Used,2020 BMW M340 i xDrive,"43,382 mi.","$42,495","Great Deal | $2,027 under","
MINI of Glencoe North Shore
",(268 reviews),4.8
32,Mercedes-Benz Certified,2023 Mercedes-Benz AMG GLB 35 Base,"3,331 mi.","$58,877",Good Deal,"
Mercedes-Benz of Westmont
","(1,179 reviews)",4.6
33,Used,2014 Jaguar F-TYPE S,"16,082 mi.","$32,795","Great Deal | $4,624 under","
Mercedes-Benz of Westmont
","(1,179 reviews)",4.6
34,Mercedes-Benz Certified,2022 Mercedes-Benz GLA 250 Base 4MATIC,"5,909 mi.","$38,577",Good Deal,"
Mercedes-Benz of Westmont
","(1,179 reviews)",4.6
35,Mercedes-Benz Certified,2022 Mercedes-Benz GLB 250 Base,"6,226 mi.","$39,977",Good Deal,"
Mercedes-Benz of Westmont
","(1,179 reviews)",4.6
36,Used,2021 Toyota Sequoia SR5,"70,834 mi.","$41,995",Good Deal,"
Mercedes-Benz of Westmont
","(1,179 reviews)",4.6
37,Used,2020 Porsche Cayenne S Coupe AWD,"38,484 mi.","$67,995",Good Deal,"
Mercedes-Benz of Westmont
","(1,179 reviews)",4.6
38,Porsche Certified,2022 Porsche Panamera Platinum Edition,"3,609 mi.","$92,000",Good Deal,"
Napleton Porsche of Westmont
",(810 reviews),4.8
39,Used,2019 Audi e-tron Premium Plus,"13,941 mi.","$37,000",Fair Deal,"
Napleton Porsche of Westmont
",(810 reviews),4.8
40,Porsche Certified,2022 Porsche Panamera Platinum Edition,"11,137 mi.","$96,000",Good Deal,"
Napleton Porsche of Westmont
",(810 reviews),4.8
41,Used,2019 Mercedes-Benz S-Class S 560 4MATIC,"39,315 mi.","$51,000","Great Deal | $7,263 under","
Napleton Porsche of Westmont
",(810 reviews),4.8
42,New,2024 Volkswagen Atlas Cross Sport 2.0T SEL R-Line,N/A,"$50,946",Hot Car,"
Kempthorn Volkswagen
",N/A,N/A
43,Porsche Certified,2022 Porsche 718 Cayman S,790 mi.,"$89,000",Fair Deal,"
Napleton Porsche of Westmont
",(810 reviews),4.8
44,Used,2022 BMW X6 M50i,"20,502 mi.","$78,000",Good Deal,"
Napleton Porsche of Westmont
",(810 reviews),4.8
45,Used,2022 Chevrolet Corvette Stingray w/3LT,"5,532 mi.","$89,000",Good Deal,"
Napleton Porsche of Westmont
",(810 reviews),4.8
46,Porsche Certified,2021 Porsche Cayenne GTS,"12,119 mi.","$99,000","Good Deal | $1,533 under","
Napleton Porsche of Westmont
",(810 reviews),4.8
47,Used,2019 Mercedes-Benz AMG GT 63 4-Door,"20,857 mi.","$94,990",Great Deal,"
Ultimo Motors North Shore
",(79 reviews),2.1
48,Used,1999 Jaguar XK8 ,"63,467 mi.","$9,985",Great Deal | $178 under,"
Xchange Motors
",(7 reviews),N/A
49,Used,2015 Honda Pilot EX-L,"85,023 mi.","$20,295",Good Deal | $229 under,"
DriveTime of South Chicago
",N/A,N/A
50,Used,2019 Mercedes-Benz AMG GT 63 S 4-Door,"22,703 mi.","$107,900","Great Deal | $4,134 under","
Ultimo Motors East
",(143 reviews),3.6
51,Used,2021 Porsche 718 Boxster Base,"14,728 mi.","$71,900","Good Deal | $1,202 under","
Ultimo Motors East
",(143 reviews),3.6
52,Used,2019 Mercedes-Benz AMG GT 63 4-Door,"12,025 mi.","$97,900","Great Deal | $9,319 under","
Ultimo Motors East
",(143 reviews),3.6
53,Used,2018 Audi A5 2.0T Premium,"28,575 mi.","$33,900",Good Deal,"
Ultimo Motors East
",(143 reviews),3.6
54,Used,2018 BMW 540 i xDrive,"47,017 mi.","$32,900",Good Deal | $393 under,"
Ultimo Motors East
",(143 reviews),3.6
55,Used,2011 Chevrolet Corvette ZR-1,"19,062 mi.","$79,900","Great Deal | $6,583 under","
Ultimo Motors East
",(143 reviews),3.6
56,Used,2021 Mercedes-Benz AMG C 63 Base,"20,596 mi.","$65,900",Fair Deal,"
Ultimo Motors East
",(143 reviews),3.6
57,Used,2023 Chevrolet Corvette Stingray w/3LT,"6,512 mi.","$97,900",Good Deal,"
Ultimo Motors East
",(143 reviews),3.6
58,Toyota Certified,2021 Toyota Tacoma SR5,"55,961 mi.","$32,333",Good Deal | $330 under,"
Toyota on Edens
",(393 reviews),3.9
59,Toyota Certified,2021 Toyota Venza LE,"23,228 mi.","$33,128",Good Deal | $241 under,"
Toyota on Edens
",(393 reviews),3.9
60,Used,2017 Kia Optima LX,"100,000 mi.","$8,900","Great Deal | $1,810 under","
Advance 1 Auto Group
",(0 reviews),N/A
61,Used,2016 RAM 1500 Longhorn,"102,987 mi.","$30,895",Fair Deal,"
United Auto Exchange
",(97 reviews),4.1
62,Used,2014 Ford F-150 XL,"36,294 mi.","$18,895",Good Deal,"
United Auto Exchange
",(97 reviews),4.1
63,New,2023 Chevrolet Blazer RS,N/A,"$48,365",N/A,"
Morrie's Forest Lake Chevrolet
",N/A,N/A
64,Used,2012 Jaguar XK Base,"70,491 mi.","$24,895",Fair Deal,"
United Auto Exchange
",(97 reviews),4.1
65,Used,2018 Ford F-150 Lariat,"74,774 mi.","$36,895",Good Deal | $142 under,"
United Auto Exchange
",(97 reviews),4.1
66,Used,2018 RAM 1500 Sport,"110,171 mi.","$28,495",Good Deal | $333 under,"
United Auto Exchange
",(97 reviews),4.1
67,Used,2016 Ford F-150 XL,"60,318 mi.","$17,895",Good Deal | $214 under,"
United Auto Exchange
",(97 reviews),4.1
68,Used,2016 INFINITI QX80 Base,"119,158 mi.","$22,995",Great Deal | $700 under,"
United Auto Exchange
",(97 reviews),4.1
69,Used,2016 Volvo V60 T5 Premier,"94,480 mi.","$14,995",Great Deal | $978 under,"
United Auto Exchange
",(97 reviews),4.1
70,Used,2021 Mercedes-Benz GLE 450 4MATIC,"14,576 mi.","$62,200",Good Deal,"
Napleton Aston Martin Maserati
",(957 reviews),4.8
71,Used,2022 Audi RS 6 Avant 4.0T quattro,"5,563 mi.","$118,800","Good Deal | $1,052 under","
Napleton Aston Martin Maserati
",(957 reviews),4.8
72,Maserati Certified,2023 Maserati Grecale Modena,"7,911 mi.","$69,000",Fair Deal,"
Napleton Aston Martin Maserati
",(957 reviews),4.8
73,Used,2010 Aston Martin V8 Vantage ,"19,959 mi.","$57,177","Great Deal | $7,806 under","
Napleton Aston Martin Maserati
",(957 reviews),4.8
74,Used,2020 Mercedes-Benz GLE 350 Base 4MATIC,"37,032 mi.","$44,500",Good Deal | $809 under,"
Napleton Aston Martin Maserati
",(957 reviews),4.8
75,Used,2012 Ford Escape Limited,"95,634 mi.","$12,250",Good Deal,"
Net Motorcars
",(123 reviews),4.6
76,Toyota Certified,2018 Toyota Highlander XLE,"65,957 mi.","$28,973",Good Deal,"
Advantage Toyota of River Oaks
",(462 reviews),4.2
77,Used,2016 Mercedes-Benz S-Class S 550 4MATIC,"56,598 mi.","$47,373","Great Deal | $4,913 under","
Advantage Toyota of River Oaks
",(462 reviews),4.2
78,Used,2020 BMW X5 xDrive40i,"20,765 mi.","$47,473",Good Deal,"
Advantage Toyota of River Oaks
",(462 reviews),4.2
79,Used,2013 Nissan Juke S,"100,829 mi.","$9,500",Great Deal | $173 under,"
Napleton River Oaks Hyundai Kia
",(97 reviews),3.6
80,Used,2020 Porsche 911 Carrera S,"8,294 mi.","$139,546",Fair Deal,"
94 Nissan Of South Holland
","(2,738 reviews)",4.7
81,Used,2011 Chevrolet Camaro 2LT,"67,157 mi.","$14,490",Good Deal,"
Auto House Motors
",(80 reviews),3.8
82,Used,2012 Volkswagen Passat 3.6 SE,"95,112 mi.","$9,890",Great Deal | $662 under,"
Auto House Motors
",(80 reviews),3.8
83,Used,2014 Toyota Camry LE,"91,034 mi.","$12,990",Good Deal | $133 under,"
Auto House Motors
",(80 reviews),3.8
84,Used,2021 Jeep Compass Trailhawk,"33,569 mi.","$24,900",Good Deal,"
Bill Kay Downers Grove Nissan
","(2,511 reviews)",4.7
85,Used,2005 Dodge Durango ST,"141,267 mi.","$4,888","Great Deal | $1,207 under","
Rt. 34 Motorsports
",(29 reviews),2.3
86,Used,2001 Honda Civic LX,"117,850 mi.","$4,888",Good Deal,"
Rt. 34 Motorsports
",(29 reviews),2.3
87,Used,2015 Toyota Avalon XLE Touring,"106,812 mi.","$13,777","Great Deal | $1,427 under","
Rt. 34 Motorsports
",(29 reviews),2.3
88,Used,2018 Volvo S90 T5 Momentum,"39,129 mi.","$25,888",Great Deal | $632 under,"
Rt. 34 Motorsports
",(29 reviews),2.3
89,Used,2017 Ford F-350 Lariat Super Duty,"68,007 mi.","$53,777",Good Deal,"
Castle Chevrolet North
",(754 reviews),4.8
90,Chevrolet Certified,2020 Chevrolet Silverado 1500 Custom,"32,118 mi.","$36,977",Good Deal | $160 under,"
Castle Chevrolet North
",(754 reviews),4.8
91,Used,2019 Audi Q7 55 Prestige,"49,664 mi.","$39,997",Fair Deal,"
Genesis of Downers Grove
",(0 reviews),N/A
92,Used,2022 Cadillac CT5 Premium Luxury AWD,"9,091 mi.","$44,587",Good Deal,"
Volkswagen of Palatine
",(1 review),N/A
93,Used,2015 RAM 3500 Longhorn,"171,703 mi.","$31,000","Great Deal | $3,056 under","
Napleton's River Oaks Chrysler Jeep Dodge RAM
","(1,248 reviews)",4.8
94,Used,2019 Acura MDX 3.5L w/Technology Package,"70,514 mi.","$27,767","Great Deal | $1,153 under","
Pugi Hyundai
","(1,230 reviews)",4.8
95,Used,2020 Mercedes-Benz AMG GT C,"19,510 mi.","$114,000","Great Deal | $4,144 under","
Ultimate Motor Cars
",(189 reviews),3.0
96,Used,2020 Lexus GS 350 F Sport,"49,782 mi.","$35,496",Good Deal,"
International Autos Jaguar, Land Rover, Subaru, Volvo Cars
",(247 reviews),4.8
97,Used,2022 Land Rover Defender 90 S,"13,341 mi.","$55,814",Good Deal,"
International Autos Jaguar, Land Rover, Subaru, Volvo Cars
",(247 reviews),4.8
98,Used,2020 Land Rover Defender FIRST EDITION,"13,753 mi.","$70,155","Good Deal | $1,099 under","
Auto's of Chicago
",(69 reviews),4.2
99,Chevrolet Certified,2021 Chevrolet Traverse LT Leather,"63,458 mi.","$29,605",Good Deal,"
Phillips Chevrolet of Lansing
","(5,718 reviews)",5.0
100,GMC Certified,2022 GMC Canyon Elevation,"7,644 mi.","$38,400",Good Deal | $676 under,"
Apple Chevrolet
",(652 reviews),4.4
101,Chevrolet Certified,2020 Chevrolet Blazer 2LT,"38,198 mi.","$25,388",Good Deal | $239 under,"
Apple Chevrolet
",(652 reviews),4.4
102,Nissan Certified,2020 Nissan Pathfinder S,"32,641 mi.","$24,892",Good Deal | $147 under,"
Glendale Nissan
",(231 reviews),2.2
103,Used,2007 Saturn Sky Base,"41,823 mi.","$14,995",Fair Deal,"
Greater Chicago Motors
",(678 reviews),4.5
104,Used,2012 Lexus GX 460 Premium,"132,176 mi.","$19,000",Great Deal | $544 under,"
Cornerstone Plymouth
",N/A,N/A
105,GMC Certified,2021 GMC Acadia SLT,"44,684 mi.","$32,986",Good Deal | $518 under,"
Sunrise Chevrolet of Glendale Heights
","(3,241 reviews)",4.9
106,Chevrolet Certified,2019 Chevrolet Blazer RS,"62,706 mi.","$27,486",Good Deal,"
Sunrise Chevrolet of Glendale Heights
","(3,241 reviews)",4.9
107,Used,2017 Ford Mustang GT Premium,"22,718 mi.","$34,499","Great Deal | $2,058 under","
Bill Kay Chevrolet
","(2,213 reviews)",4.5
108,Used,2018 Buick Regal Sportback Preferred,"13,620 mi.","$21,499",Great Deal | $425 under,"
Bill Kay Chevrolet
","(2,213 reviews)",4.5
109,Used,2019 Chevrolet Spark LS,"32,254 mi.","$13,538",Good Deal,"
Bill Kay Chevrolet
","(2,213 reviews)",4.5
110,Used,2016 Acura RDX Base,"87,294 mi.","$16,699",Great Deal | $484 under,"
Bill Kay Chevrolet
","(2,213 reviews)",4.5
111,Used,2023 Jeep Grand Cherokee L Laredo,"10,957 mi.","$43,730","Great Deal | $1,978 under","
Bill Kay Chevrolet
","(2,213 reviews)",4.5
112,Used,2015 Buick LaCrosse Leather,"109,964 mi.","$13,399",Good Deal,"
Bill Kay Chevrolet
","(2,213 reviews)",4.5
113,Used,2023 Chevrolet Camaro ZL1,"1,107 mi.","$77,500",Good Deal | $925 under,"
Bill Kay Chevrolet
","(2,213 reviews)",4.5
114,Used,2020 BMW X1 sDrive28i,"29,063 mi.","$26,979",Good Deal,"
Bill Kay Chevrolet
","(2,213 reviews)",4.5
115,Used,2021 Chevrolet Tahoe Z71,"43,724 mi.","$59,997",Good Deal | $777 under,"
Bill Kay Chevrolet
","(2,213 reviews)",4.5
116,Used,2021 Chevrolet Silverado 1500 Custom Trail Boss,"20,784 mi.","$40,899",Good Deal,"
Bill Kay Chevrolet
","(2,213 reviews)",4.5
117,Used,2021 GMC Sierra 1500 Elevation,"35,263 mi.","$44,380",Good Deal | $469 under,"
Bill Kay Chevrolet
","(2,213 reviews)",4.5
118,Chevrolet Certified,2022 Chevrolet Blazer RS,"28,358 mi.","$40,995",Good Deal,"
Jerry Haggerty Chevrolet
",(550 reviews),4.9
119,GMC Certified,2021 GMC Acadia SLT,"26,299 mi.","$32,395",Great Deal | $928 under,"
Jerry Haggerty Chevrolet
",(550 reviews),4.9
120,Used,2015 Chevrolet Tahoe LTZ,"102,789 mi.","$27,595",Good Deal | $158 under,"
Jerry Haggerty Chevrolet
",(550 reviews),4.9
121,GMC Certified,2022 GMC Terrain Denali,"8,575 mi.","$36,995",Great Deal | $753 under,"
Jerry Haggerty Chevrolet
",(550 reviews),4.9
122,Chevrolet Certified,2022 Chevrolet Bolt EUV Premier,"12,914 mi.","$33,595",Great Deal | $959 under,"
Jerry Haggerty Chevrolet
",(550 reviews),4.9
123,Chevrolet Certified,2022 Chevrolet Tahoe LT,"33,884 mi.","$62,995",Good Deal,"
Jerry Haggerty Chevrolet
",(550 reviews),4.9
124,Chevrolet Certified,2019 Chevrolet Silverado 1500 RST,"36,839 mi.","$38,795",Good Deal | $516 under,"
Jerry Haggerty Chevrolet
",(550 reviews),4.9
125,New,2023 Chevrolet Tahoe Z71,N/A,"$73,825",N/A,"
#1 Cochran Chevrolet
",N/A,N/A
126,Chevrolet Certified,2022 Chevrolet Camaro 2SS,"2,439 mi.","$54,595","Great Deal | $2,048 under","
Jerry Haggerty Chevrolet
",(550 reviews),4.9
127,Used,2019 Chevrolet Silverado 1500 High Country,"93,974 mi.","$38,595",Good Deal,"
Jerry Haggerty Chevrolet
",(550 reviews),4.9
128,Chevrolet Certified,2022 Chevrolet Tahoe High Country,"10,807 mi.","$78,995",Good Deal,"
Jerry Haggerty Chevrolet
",(550 reviews),4.9
129,Chevrolet Certified,2020 Chevrolet Traverse LT Leather,"33,860 mi.","$32,478",Good Deal,"
Dick Wickstrom Chevrolet
",(669 reviews),4.7
130,Chevrolet Certified,2023 Chevrolet Silverado 2500 Custom,"4,954 mi.","$52,999",Good Deal,"
Dick Wickstrom Chevrolet
",(669 reviews),4.7
131,Chevrolet Certified,2021 Chevrolet Blazer 3LT,"46,232 mi.","$27,999",Good Deal,"
Dick Wickstrom Chevrolet
",(669 reviews),4.7
132,Chevrolet Certified,2020 Chevrolet Traverse Premier,"28,805 mi.","$38,418",Good Deal,"
Dick Wickstrom Chevrolet
",(669 reviews),4.7
133,Used,2018 Toyota Highlander XLE,"60,907 mi.","$29,500",Good Deal,"
Honda of Lisle
","(4,646 reviews)",4.8
134,Used,2023 BMW XM Base,366 mi.,"$143,990",Good Deal,"
BMW of Orland Park
",(822 reviews),4.3
135,Used,2021 Lexus RX 350 F SPORT Appearance,"40,152 mi.","$42,410",Good Deal | $618 under,"
BMW of Orland Park
",(822 reviews),4.3
136,Used,2019 Ford Mustang GT Premium,"47,504 mi.","$36,997",Good Deal,"
BMW of Orland Park
",(822 reviews),4.3
137,Used,2019 Lexus GX 460 Base,"35,320 mi.","$37,880",Good Deal,"
BMW of Orland Park
",(822 reviews),4.3
138,Used,2021 BMW X4 xDrive30i,"44,062 mi.","$37,539",Good Deal | $180 under,"
BMW of Orland Park
",(822 reviews),4.3
139,Used,2019 Subaru Outback 2.5i,"50,792 mi.","$21,893",Good Deal,"
Tasca Chevrolet
","(2,610 reviews)",4.6
140,Used,2011 Porsche Panamera 4,"62,048 mi.","$26,993",Good Deal,"
Tasca Chevrolet
","(2,610 reviews)",4.6
141,Chevrolet Certified,2018 Chevrolet Corvette Grand Sport,"10,297 mi.","$64,483",Good Deal,"
Tasca Chevrolet
","(2,610 reviews)",4.6
142,Used,2019 Lexus ES 350 Ultra Luxury,"21,799 mi.","$32,283","Great Deal | $2,931 under","
Tasca Chevrolet
","(2,610 reviews)",4.6
143,Used,2019 Land Rover Discovery SE,"39,413 mi.","$28,483",Good Deal | $246 under,"
Tasca Chevrolet
","(2,610 reviews)",4.6
144,Porsche Certified,2023 Porsche Macan S,"2,567 mi.","$82,995",Fair Deal,"
The Porsche Exchange
",(169 reviews),4.7
145,Porsche Certified,2022 Porsche Taycan Base,"1,981 mi.","$90,995","Great Deal | $2,443 under","
The Porsche Exchange
",(169 reviews),4.7
146,New,2023 Ford Bronco Big Bend,N/A,"$48,149",Hot Car,"
Woodhouse Ford of Plattsmouth
",N/A,N/A
147,Porsche Certified,2019 Porsche 911 Turbo S,"4,278 mi.","$197,995","Great Deal | $5,786 under","
The Porsche Exchange
",(169 reviews),4.7
148,Porsche Certified,2018 Porsche 911 GT3,"11,974 mi.","$194,995",Good Deal,"
The Porsche Exchange
",(169 reviews),4.7
149,Audi Certified,2023 Audi Q7 45 Premium,"8,350 mi.","$57,430",Good Deal,"
The Audi Exchange
",(973 reviews),4.6
150,Used,2016 Cadillac SRX Luxury Collection,"66,352 mi.","$17,787","Great Deal | $1,006 under","
The Audi Exchange
",(973 reviews),4.6
151,Used,2020 Volvo S90 T6 R-Design,"43,681 mi.","$35,587",Good Deal | $506 under,"
The Audi Exchange
",(973 reviews),4.6
152,Audi Certified,2023 Audi A4 45 S line Premium Plus,"2,829 mi.","$40,275","Great Deal | $1,235 under","
The Audi Exchange
",(973 reviews),4.6
153,Used,2021 Jeep Grand Cherokee L Limited,"11,533 mi.","$39,487","Great Deal | $1,917 under","
The Audi Exchange
",(973 reviews),4.6
154,Used,2019 Mercedes-Benz E-Class E 450,"53,103 mi.","$41,987","Great Deal | $1,718 under","
The Audi Exchange
",(973 reviews),4.6
155,Used,2018 RAM 2500 Power Wagon,"66,445 mi.","$41,995",Good Deal,"
Auto Showcase of Carol Stream
",(63 reviews),4.0
156,Used,2018 Jeep Grand Cherokee Trackhawk,"23,220 mi.","$84,995",Good Deal,"
Auto Showcase of Carol Stream
",(63 reviews),4.0
157,Used,2019 Chevrolet Corvette ZR1,"8,988 mi.","$179,995",Good Deal | $834 under,"
Auto Showcase of Carol Stream
",(63 reviews),4.0
158,Used,2013 Volvo C70 T5,"35,209 mi.","$23,995",Fair Deal,"
Auto Showcase of Carol Stream
",(63 reviews),4.0
159,Used,2015 BMW i8 FI EXHAUST - BUTTERFLY DOORS - I DRIVE NAVIGATION - HARMAN KARDO SOUND,"41,126 mi.","$58,800",Fair Deal,"
Luxe Motors LLC
",(1 review),N/A
160,Used,2018 Mercedes-Benz C-Class C 300 4MATIC,"42,351 mi.","$32,995",Good Deal | $238 under,"
Zeigler Chevrolet
","(1,302 reviews)",4.3
161,Used,2023 Land Rover Defender 110 X-Dynamic SE,"8,025 mi.","$77,021","Great Deal | $4,843 under","
Zeigler Chevrolet
","(1,302 reviews)",4.3
162,Used,2017 Mercedes-Benz GLE 350 Base 4MATIC,"79,656 mi.","$23,795","Great Deal | $1,608 under","
Lux Cars Chicago
",(144 reviews),4.3
163,Used,2018 INFINITI QX60 Base,"63,563 mi.","$23,698",Good Deal,"
Lux Cars Chicago
",(144 reviews),4.3
164,Used,2008 Mercedes-Benz R-Class R 350 4MATIC,"39,372 mi.","$16,987",Fair Deal,"
Lux Cars Chicago
",(144 reviews),4.3
165,Used,2016 BMW 750 i xDrive,"58,290 mi.","$31,895",Good Deal | $379 under,"
Lux Cars Chicago
",(144 reviews),4.3
166,Used,2021 BMW X5 xDrive40i,"49,828 mi.","$41,985",Good Deal | $511 under,"
Lux Cars Chicago
",(144 reviews),4.3
167,New,2023 Chevrolet Traverse LS,N/A,"$34,556",N/A,"
Gwatney Chevrolet
",N/A,N/A
168,Used,2012 Mercedes-Benz R-Class R 350 4MATIC,"112,430 mi.","$11,994",Fair Deal,"
Lux Cars Chicago
",(144 reviews),4.3
169,Used,2021 BMW X5 xDrive40i,"49,828 mi.","$41,985",Good Deal | $511 under,"
Lux Cars Chicago
",(144 reviews),4.3
170,Used,2016 BMW 750 i xDrive,"58,290 mi.","$31,895",Good Deal | $379 under,"
Lux Cars Chicago
",(144 reviews),4.3
171,Used,2017 Lexus RX 350 PACKAGE NAVIGATION MOONROOF BLIND SPOT MONITOR MSR,"25,116 mi.","$34,895",Good Deal | $213 under,"
Lux Cars Chicago
",(144 reviews),4.3
172,Used,2017 BMW X5 xDrive35i,"102,936 mi.","$23,794",Good Deal,"
Lux Cars Chicago
",(144 reviews),4.3
173,Used,2019 Lexus NX 300h Base,"111,499 mi.","$24,694",Good Deal | $391 under,"
Schaumburg Kia
","(2,865 reviews)",4.5
174,Used,2022 BMW X7 M50i,"26,989 mi.","$74,469","Great Deal | $5,227 under","
Schaumburg Kia
","(2,865 reviews)",4.5
175,Used,2022 GMC Yukon SLT,"15,701 mi.","$63,899",Good Deal | $715 under,"
Schaumburg Kia
","(2,865 reviews)",4.5
176,Used,2018 Audi Q7 3.0T Premium Plus,"41,012 mi.","$33,661",Good Deal,"
Schaumburg Kia
","(2,865 reviews)",4.5
177,Used,2021 RAM 1500 Limited,"20,214 mi.","$52,293",Good Deal,"
Schaumburg Kia
","(2,865 reviews)",4.5
178,Used,2020 Mercedes-Benz E-Class E 350 4MATIC,"23,714 mi.","$42,986",Good Deal,"
Schaumburg Kia
","(2,865 reviews)",4.5
179,Used,2019 Mercedes-Benz S-Class S 450 4MATIC,"25,611 mi.","$53,943",Good Deal | $793 under,"
Schaumburg Kia
","(2,865 reviews)",4.5
180,Used,2019 Jeep Wrangler Sport,"21,036 mi.","$27,320",Good Deal | $437 under,"
Schaumburg Kia
","(2,865 reviews)",4.5
181,Used,2023 Jeep Wrangler Sport,"10,233 mi.","$40,454",Good Deal | $204 under,"
Schaumburg Kia
","(2,865 reviews)",4.5
182,Used,2019 Lexus UX 200 Base,"46,540 mi.","$26,989",Good Deal | $458 under,"
Schaumburg Kia
","(2,865 reviews)",4.5
183,Used,2017 Mercedes-Benz E-Class E 300,"74,257 mi.","$24,431",Great Deal | $446 under,"
Schaumburg Kia
","(2,865 reviews)",4.5
184,Used,2016 Honda Civic EX-L,"55,612 mi.","$19,090",Great Deal | $348 under,"
Schaumburg Kia
","(2,865 reviews)",4.5
185,Used,2020 GMC Terrain SLE,"27,385 mi.","$23,760",Good Deal | $137 under,"
Schaumburg Kia
","(2,865 reviews)",4.5
186,Used,2020 BMW X5 xDrive40i,"46,135 mi.","$41,865",Great Deal | $870 under,"
Schaumburg Kia
","(2,865 reviews)",4.5
